COM_NAME,SPECIES_CODE,Count_yr,SpeciesNumber,NumberByPartyHours,ReportingCounts,ReportingObservers
American Kestrel,amekes,61,117,0.6573,7,24
American Kestrel,amekes,62,166,0.4246,7,28
American Kestrel,amekes,63,123,0.4881,7,23
American Kestrel,amekes,64,141,0.5551,9,25
American Kestrel,amekes,65,182,0.4802,10,22
American Kestrel,amekes,66,114,0.4254,9,24
American Kestrel,amekes,67,255,0.512,10,22
American Kestrel,amekes,68,187,0.5516,10,30
American Kestrel,amekes,69,234,0.2809,13,36
American Kestrel,amekes,70,189,0.2953,10,41
American Kestrel,amekes,71,300,0.4104,8,44
American Kestrel,amekes,72,257,0.2666,11,51
American Kestrel,amekes,73,375,0.3251,13,51
American Kestrel,amekes,74,272,0.2413,12,66
American Kestrel,amekes,75,282,0.2517,12,69
American Kestrel,amekes,76,413,0.3177,13,71
American Kestrel,amekes,77,426,0.2608,15,88
American Kestrel,amekes,78,577,0.2852,17,104
American Kestrel,amekes,79,660,0.33,20,81
American Kestrel,amekes,80,568,0.2899,20,73
American Kestrel,amekes,81,585,0.319,21,74
American Kestrel,amekes,82,559,0.2999,23,59
American Kestrel,amekes,83,651,0.2879,23,66
American Kestrel,amekes,84,684,0.3078,25,69
American Kestrel,amekes,85,742,0.3517,24,85
American Kestrel,amekes,86,575,0.2672,25,48
American Kestrel,amekes,87,585,0.2708,22,69
American Kestrel,amekes,88,429,0.2201,23,94
American Kestrel,amekes,89,453,0.2185,23,83
American Kestrel,amekes,90,315,0.165,22,81
American Kestrel,amekes,91,568,0.2402,24,90
American Kestrel,amekes,92,556,0.2317,25,104
American Kestrel,amekes,93,618,0.2571,27,88
American Kestrel,amekes,94,732,0.2822,28,136
American Kestrel,amekes,95,478,0.1825,23,122
American Kestrel,amekes,96,450,0.2177,23,103
American Kestrel,amekes,97,431,0.2008,23,80
American Kestrel,amekes,98,577,0.24,26,97
American Kestrel,amekes,99,550,0.2158,27,103
American Kestrel,amekes,100,651,0.2755,28,82
American Kestrel,amekes,101,551,0.1998,28,76
American Kestrel,amekes,102,741,0.2647,32,68
American Kestrel,amekes,103,614,0.2196,28,62
American Kestrel,amekes,104,655,0.2311,32,85
American Kestrel,amekes,105,642,0.2491,33,72
American Kestrel,amekes,106,751,0.2454,31,78
American Kestrel,amekes,107,826,0.2816,34,89
American Kestrel,amekes,108,661,0.2343,33,79
American Kestrel,amekes,109,725,0.2401,33,74
American Kestrel,amekes,110,682,0.2123,32,71
American Kestrel,amekes,111,684,0.2133,31,66
American Kestrel,amekes,112,667,0.2417,32,79
American Kestrel,amekes,113,753,0.2491,32,123
American Kestrel,amekes,114,709,0.2291,34,97
American Kestrel,amekes,115,961,0.3198,35,124
American Kestrel,amekes,116,1010,0.3246,34,122
American Kestrel,amekes,117,863,0.263,33,117
